action_id,time
1,32
2,10
3,9
4,9
5,12
6,12
1,14
2,10
3,29
4,26
5,18
6,25
1,5
2,26
3,9
4,18
5,16
6,28
1,8
2,34
3,29
4,34
5,26
6,10
1,28
2,17
3,29
4,5
5,13
6,21
1,25
2,24
3,33
4,25
5,6
6,35
1,11
2,22
3,15
4,28
5,10
6,11
1,7
2,30
3,5
4,29
5,25
6,24
1,27
2,18
3,18
4,25
5,8
6,32
1,25
2,26
3,17
4,5
5,24
6,7
1,9
2,29
3,14
4,9
5,14
6,23
1,34
2,21
3,28
4,35
5,29
6,21
1,22
2,12
3,33
4,22
5,34
6,10
1,13
2,10
3,32
4,18
5,20
6,17
1,29
2,14
3,8
4,28
5,7
6,17
1,6
2,5
3,29
4,34
5,29
6,21
1,29
2,28
3,35
4,9
5,33
6,10
1,17
2,27
3,35
4,14
5,19
6,16
1,14
2,7
3,35
4,13
5,6
6,8
1,14
2,33
3,16
4,31
5,16
6,19
1,22
2,9
3,28
4,19
5,22
6,7
1,8
2,34
3,17
4,28
5,34
6,6
1,24
2,35
3,17
4,30
5,30
6,29
1,34
2,11
3,22
4,16
5,23
6,29
1,29
2,15
3,19
4,32
5,22
6,28
1,21
2,22
3,26
4,24
5,23
6,32
1,25
2,26
3,12
4,15
5,26
6,32
1,33
2,14
3,34
4,9
5,15
6,29
1,16
2,30
3,6
4,26
5,20
6,35
1,15
2,24
3,30
4,30
5,25
6,11
1,14
2,25
3,12
4,29
5,11
6,30
1,35
2,10
3,30
4,23
5,23
6,22
1,5
2,29
3,8
4,17
5,6
6,17
1,23
2,32
3,19
4,27
5,18
6,34
1,33
2,15
3,26
4,10
5,7
6,23
1,33
2,31
3,32
4,25
5,27
6,34
1,20
2,27
3,34
4,12
5,11
6,17
1,18
2,28
3,7
4,31
5,14
6,27
1,34
2,29
3,31
4,5
5,17
6,34
1,14
2,6
3,31
4,16
5,12
6,22
1,35
2,29
3,10
4,17
5,20
6,16
1,23
2,8
3,25
4,26
5,20
6,22
1,9
2,32
3,25
4,31
5,15
6,17
1,21
2,17
3,33
4,14
5,22
6,7
1,26
2,29
3,10
4,28
5,8
6,20
1,13
2,30
3,31
4,23
5,30
6,21
1,18
2,11
3,21
4,8
5,6
6,14
1,5
2,24
3,28
4,15
5,18
6,31
1,15
2,26
3,17
4,13
5,10
6,21
1,32
2,16
3,23
4,21
5,19
6,28
